delta_R,m_mu_mu
[ 3.12909354],[ 21.02457191]
[ 3.53756148],[ 122.35042946]
[ 2.98840991],[ 126.21338185]
[ 2.80157333],[ 29.03674774]
[ 3.54760941],[ 126.17344796]
[ 4.2226607],[ 24.54908694]
[ 2.87048899],[ 126.67996359]
[ 2.9515316],[ 14.70981609]
[ 3.55658395],[ 8.98126657]
[ 2.5881141],[ 22.67822913]
[ 3.20512391],[ 124.53355448]
[ 4.07097704],[ 122.86662988]
[ 3.02022608],[ 2.32891264]
[ 3.78276501],[ 31.46325303]
[ 2.8759245],[ 123.86861296]
[ 3.39466087],[ 5.96951146]
[ 3.646626],[ 30.95923178]
[ 2.39411432],[ 120.18556741]
[ 3.76255753],[ 7.94996093]
[ 3.80126652],[ 123.20275634]
[ 5.01740223],[ 121.01347883]
[ 2.77552217],[ 124.25683486]
[ 3.07591954],[ 3.66164075]
[ 3.19504212],[ 124.66235423]
[ 3.1359874],[ 23.85644666]
[ 4.16009705],[ 108.59201969]
[ 3.18820501],[ 127.85177936]
[ 2.55801509],[ 125.14016145]
[ 2.52218766],[ 18.60166388]
[ 2.30115787],[ 124.33480281]
[ 3.21611488],[ 122.87088197]
[ 3.3203804],[ 125.57246652]
[ 3.9654847],[ 130.24316257]
[ 1.07301871],[ 126.63036887]
[ 3.49501292],[ 122.04187607]
[ 3.26216354],[ 124.37197535]
[ 4.81578506],[ 125.00922632]
[ 3.37703913],[ 34.84483705]
[ 2.75338887],[ 19.77734561]
[ 3.43156556],[ 124.0001587]
[ 3.20024008],[ 122.24675037]
[ 4.69962142],[ 111.26640308]
[ 3.36791719],[ 122.40682831]
[ 3.30029797],[ 125.27554841]
[ 0.92411097],[ 18.16497735]
[ 3.06735472],[ 17.59571585]
[ 3.80801921],[ 120.936926]
[ 5.17728536],[ 121.34674292]
[ 1.11703245],[ 2.0980682]
[ 4.06102865],[ 13.41130919]
[ 1.49022086],[ 14.34318516]
[ 2.79044479],[ 22.39308818]
[ 3.44593484],[ 24.11862208]
[ 3.50214444],[ 125.45455999]
[ 3.5252661],[ 24.31982365]
[ 2.81561938],[ 122.71632326]
[ 3.47941204],[ 20.87501729]
[ 2.84421052],[ 7.99496494]
[ 2.26768719],[ 125.88421072]
[ 2.77931753],[ 34.97460264]
[ 2.75477386],[ 22.85537596]
[ 3.44515651],[ 123.76883751]
[ 3.01632589],[ 38.39116372]
[ 2.88133685],[ 124.36952299]
[ 4.34434016],[ 13.03890107]
[ 2.96174703],[ 123.35522425]
[ 3.69463813],[ 125.03650487]
[ 3.04285347],[ 121.93609186]
[ 3.49785736],[ 123.10354189]
[ 3.82854024],[ 20.97048319]
[ 3.44291373],[ 125.25482771]
[ 3.28490684],[ 17.3857736]
[ 3.37293542],[ 125.36021205]
[ 5.00651496],[ 7.54737498]
[ 4.83692708],[ 1.81184918]
[ 3.10043101],[ 128.50896881]
[ 4.19183747],[ 124.16140179]
[ 2.33208958],[ 2.2748544]
[ 3.56115038],[ 126.06369092]
[ 4.62935768],[ 43.83121285]
[ 3.80650068],[ 123.98507313]
[ 2.29112844],[ 25.99411465]
[ 2.70613734],[ 18.97478977]
[ 3.61227732],[ 122.48328521]
[ 3.26451053],[ 125.33122253]
[ 3.48932502],[ 124.12855644]
[ 3.63958148],[ 125.06158674]
[ 4.34030529],[ 7.01572142]
[ 3.26389246],[ 125.30563322]
[ 3.05856904],[ 122.93912166]
[ 2.90181547],[ 16.3480154]
[ 3.6494969],[ 126.0014324]
[ 2.90500199],[ 125.76848435]
[ 4.25665948],[ 12.54336999]
[ 3.18286214],[ 123.33494645]
[ 3.9722328],[ 25.30177238]
[ 4.16159809],[ 47.91082398]
[ 3.1961775],[ 127.50604687]
[ 3.06187458],[ 123.05322074]
[ 2.37011134],[ 17.49512798]
[ 3.28325578],[ 124.23495565]
[ 3.37185658],[ 122.7242044]
[ 2.35419401],[ 122.70384382]
[ 2.86071908],[ 21.43503976]
[ 3.82575972],[ 124.92119313]
